jre-openjdk-headless 16.0.2.u7-1
js78 78.14.0-1
json-c 0.15-1
json-glib 1.6.6-1
jsoncpp 1.9.4-1
k3b 1:21.08.1-1
kaccounts-integration 21.08.1-1
kaccounts-providers 21.08.1-1
kactivities 5.85.0-1
kactivities-stats 5.85.0-1
kactivitymanagerd 5.22.5-1
kamera 21.08.1-1
karchive 5.85.0-1
kate 21.08.1-1
kauth 5.85.0-1
kbd 2.4.0-2
kbookmarks 5.85.0-1
kcalc 21.08.1-1
kcmutils 5.85.0-1
kcodecs 5.85.0-1
kcolorpicker 0.1.6-1
kcompletion 5.85.0-1
kconfig 5.85.0-1
kconfigwidgets 5.85.0-1
kcontacts 1:5.85.0-1
kcoreaddons 5.85.0-1
kcrash 5.85.0-1
kdbusaddons 5.85.0-1
kde-cli-tools 5.22.5-1
kde-gtk-config 5.22.5-1
kdeclarative 5.85.0-1
kdeconnect 21.08.1-1
kdecoration 5.22.5-1
kded 5.85.0-1
kdegraphics-thumbnailers 21.08.1-1
kdelibs4support 5.85.0-1
kdenetwork-filesharing 21.08.1-2
kdeplasma-addons 5.22.5-1
kdesu 5.85.0-1
kdnssd 5.85.0-1
kdoctools 5.85.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 21.08.1-1
kemoticons 5.85.0-1
kernel-alive 0.5-1
keyutils 1.6.3-1
kfilemetadata 5.85.0-1
kfind 21.08.1-1
kgamma5 5.22.5-1
kget 21.08.1-1
kglobalaccel 5.85.0-1
kguiaddons 5.85.0-1
khelpcenter 21.08.1-1
kholidays 1:5.85.0-1
khotkeys 5.22.5-1
khtml 5.85.0-1
ki18n 5.85.0-1
kiconthemes 5.85.0-1
kidletime 5.85.0-1
kimageannotator 0.5.1-1
kimageformats 5.85.0-1
kinfocenter 5.22.5-1
kinit 5.85.0-1
kio 5.85.0-1
kio-extras 21.08.1-1
kio-fuse 5.0.1-1
kirigami2 5.85.0-1
kitemmodels 5.85.0-1
kitemviews 5.85.0-1
kjobwidgets 5.85.0-1
kjs 5.85.0-1
kmenuedit 5.22.5-1
kmod 29-1
knewstuff 5.85.0-1
knotifications 5.85.0-1
knotifyconfig 5.85.0-1
konsole 21.08.1-1
konversation 21.08.1-1
kpackage 5.85.0-1
kparts 5.85.0-1
kpeople 5.85.0-1
kpeoplevcard 0.1+r38.32d50a9-1
kpmcore 21.08.1-1.1
kpty 5.85.0-1
kquickcharts 5.85.0-1
krb5 1.19.2-1
krunner 5.85.0-1
kscreen 5.22.5-1
kscreenlocker 5.22.5-1
kservice 5.85.0-1
ksshaskpass 5.22.5-1
ksysguard 5.22.0-1
ksystemlog 21.08.1-1
ksystemstats 5.22.5-1
ktexteditor 5.85.0-1
ktextwidgets 5.85.0-1
kunitconversion 5.85.0-1
kuserfeedback 1.0.0-1
kwallet 5.85.0-1
kwallet-pam 5.22.5-1
kwalletmanager 21.08.1-1
kwayland 5.85.0-1
kwayland-integration 5.22.5-1
kwayland-server 5.22.5-1
kwidgetsaddons 5.85.0-1
kwin 5.22.5-1
kwindowsystem 5.85.0-1
kwrited 5.22.5-1
kxmlgui 5.85.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
layer-shell-qt 5.22.5-1
lcms2 2.12-1
ldb 2:2.3.0-1
ldns 1.7.1-2
lensfun 0.3.95-4
less 1:590-1
lib32-alsa-lib 1.2.5.1-1
lib32-alsa-plugins 1.2.5-1
lib32-bzip2 1.0.8-2
lib32-curl 7.78.0-1
lib32-dbus 1.12.20-1
lib32-e2fsprogs 1.46.4-1
lib32-expat 2.4.1-1
lib32-flac 1.3.3-1
lib32-gcc-libs 11.1.0-1
lib32-glew 2.2.0-1
lib32-glibc 2.33-5
lib32-glu 9.0.2-1
lib32-icu 69.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.2-1
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 0.30+2+gc0620e4-5
lib32-libcap 2.56-1
lib32-libdrm 2.4.107-1
lib32-libelf 0.185-1
lib32-libffi 3.3-2
lib32-libgcrypt 1.9.4-1
lib32-libglvnd 1.3.3-1
lib32-libgpg-error 1.42-1
lib32-libice 1.0.10-1
lib32-libidn2 2.3.2-1
lib32-libldap 2.4.59-1
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libnsl 2.0.0-1
lib32-libogg 1.3.5-1
lib32-libpciaccess 0.16-1
lib32-libpsl 0.21.1-1
lib32-libpulse 15.0-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.31-1
lib32-libssh2 1.9.0-1
lib32-libtasn1 4.17.0-1
lib32-libtirpc 1.3.2-1
lib32-libunistring 0.9.10-1
lib32-libunwind 1.5.0-1
lib32-libva 2.11.0-1
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 21.2.1-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-libvdpau 1.4-1
lib32-libvorbis 1.3.7-1
lib32-libx11 1.7.2-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
lib32-libxcrypt 4.4.25-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 6.0.0-1
lib32-libxi 1.7.10-2
lib32-libxml2 2.9.12-1
lib32-libxmu 1.1.3-1
lib32-libxshmfence 1.3-2
lib32-libxss 1.2.3-1
lib32-libxt 1.2.1-1
lib32-libxtst 1.2.3-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 12.0.1-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-mesa 21.2.1-1
lib32-mesa-demos 8.4.0-2
lib32-mesa-vdpau 21.2.1-1
lib32-ncurses 6.2-1
lib32-nspr 4.32-1
lib32-nss 3.70-1
lib32-openssl 1:1.1.1.l-1
lib32-opus 1.3.1-1
lib32-p11-kit 0.24.0-1
lib32-pam 1.5.1-2
lib32-readline 8.1.001-1
lib32-sqlite 3.36.0-1
lib32-systemd 249.4-1
lib32-tdb 1.4.5-1
lib32-util-linux 2.37.2-1
lib32-vulkan-icd-loader 1.2.190-1
lib32-vulkan-intel 21.2.1-1
lib32-vulkan-radeon 21.2.1-1
lib32-wayland 1.19.0-1
lib32-xz 5.2.5-2
lib32-zlib 1.2.11-3
lib32-zstd 1.5.0-2
libaccounts-glib 1.25-4
libaccounts-qt 1.16-3
libaio 0.3.112-2
libao 1.2.2-5
libappimage 1.0.3-4
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.2-1
libass 0.15.1-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.9.2-1
libavtp 0.1.0-2
libblockdev 2.25-2
libbluray 1.3.0-1
libbs2b 3.1.0-7
libbsd 0.11.3-1
libburn 1.5.4-1
libbytesize 2.6-1
libcaca 0.99.beta19-5
libcanberra 0.30+2+gc0620e4-5
libcap 2.56-1
libcap-ng 0.8.2-3
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.3.3op2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdmtx 0.7.5-2
libdrm 2.4.107-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdcss 1.4.3-1
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libebml 1.4.2-1
libedit 20210714_3.1-1
libelf 0.185-1
libepoxy 1.5.9-1
libev 4.33-1
libevdev 1.11.0-1
libevent 2.1.12-1
libexif 0.6.22-1
libfakekey 0.3-2
libfdk-aac 2.0.2-1
libffi 3.3-4
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libftdi 1.5-2
libgcrypt 1.9.4-1
libgee 0.20.4-1
libgexiv2 0.12.3-1
libgit2 1:1.1.1-1
libglvnd 1.3.3-1
libgme 0.6.3-1
libgnomekbd 3.26.1+2+g8d02ebd-2
libgpg-error 1.42-1
libgphoto2 2.5.27-1
libgudev 237-1
libgusb 0.3.7-1
libhandy 1.4.0-1
libheif 1.12.0-1
libibus 1.5.25-3
libical 3.0.10-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libieee1284 0.2.11-11
libimagequant 2.15.1-1
libimobiledevice 1.3.0-3
libindicator-gtk3 12.10.1-9
libinih 53-1
libinput 1.18.1-1
libinstpatch 1.1.6-1
libjcat 0.1.8-1
libjpeg-turbo 2.1.1-1
libkate 0.4.1-7
libkcddb 21.08.1-1
libkdcraw 21.08.1-1
libkexiv2 21.08.1-1
libkipi 21.08.1-1
libksane 21.08.1-1
libksba 1.6.0-1
libkscreen 5.22.5-1
libksysguard 5.22.5-1
libktorrent 21.08.1-1
libldac 2.0.2.3-1
libldap 2.4.59-2
liblouis 3.19.0-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libmad 0.15.1b-9
libmanette 0.2.6-2
libmatroska 1.6.3-1
libmbim 1.26.0-2
libmd 1.0.3-1
libmfx 21.3.2-1
libmicrodns 0.2.0-1
libmikmod 3.3.11.1-4
libmm-glib 1.16.10-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.2.1-1
libmpcdec 1:0.1+r475-3
libmpdclient 2.19-3
libmpeg2 0.5.1-7
libmtp 1.1.18-1
libmusicbrainz5 5.1.0-4
libmypaint 1.6.1-1
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-5
libnfnetlink 1.0.1-4
libnfs 4.0.0-4
libnftnl 1.2.0-1
libnghttp2 1.44.0-1
libnice 0.1.18-2
libnl 3.5.0-3
libnm 1.32.10-1
libnotify 0.7.9-1
libnsl 2.0.0-1
libofa 0.9.3-9
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenaptx 0.2.0-1
libp11-kit 0.24.0-1
libpamac 11.1.0-1
libpamac-flatpak-plugin 11.1.0-1
libpamac-snap-plugin 11.1.0-1
libpaper 1.1.28-1
libpcap 1.10.1-1
